"","age_under_5_2017","age_over_65_2017","median_age_2017","white_2010","black_2017","no_move_in_one_plus_year_2010","speak_english_only_2017","hs_grad_2017","bachelors_2017","computer_2017","homeownership_2010","per_capita_income_2017","poverty_2016","employed_2015","uninsured_2017","fed_spending_2009","density_2010","log_incident_rate"
"107",5.3,19.8,42.3,87.7,1.26,83.1,71.5,78.5,11.3,72.9,80.4,22599.66,17.2,5649,18.9,117618,11.1,-9.68860148086877
"108",4.5,24.4,48.6,95.6,0.12,86,97.9,89.9,18.9,76,73.5,24854.95,14.8,3139,10.7,71971,5.9,-10.117630721653
"109",6.2,12.1,36.6,72.2,12.69,84.5,94.7,89.4,23.5,88.9,77.5,27534.4,10.2,80508,10.2,636426,338.7,-9.43065134389399
"110",4.9,23.7,47.2,83.5,2.98,86.9,81.4,83,18.1,74,74.1,29159.7,11.1,12341,11.8,214994,25.8,-9.72214551585567
"111",5.3,18.5,42.8,98.1,0.16,87,98.7,87,14.5,77,78.2,23879.92,16.1,12808,9.9,278549,61.1,-9.82496987189371
"112",6.8,13.7,35.9,39.5,28.64,79.6,94.4,85.7,32.3,84.4,63.2,26622.04,18.8,98643,11.1,5085747,292.5,-7.51610173993463
"113",4.9,26.2,51.6,97.8,0,91.8,99,91.2,16.6,76.1,75,29646.72,13.8,662,14.9,26539,0.3,-8.45467928602699
"114",5.3,16.3,42.2,94.4,1.15,89.2,96.8,90.5,18.6,86.9,80.7,28933.6,10,72628,5.8,850940,276.7,-9.77504737931226
"115",5.4,18.7,43.2,97.1,0.45,87.1,97.1,89.6,19.2,82.4,79.1,27234.78,11.2,6156,6.9,111387,29,-9.09903630241751
"116",7.2,16.6,38.3,74.3,0.27,85.1,91.5,91.1,23.3,86.1,72.2,26961.92,16.8,19160,18.9,340412,4.4,-9.28022706610686
"117",6.2,15.9,38.3,76.9,7.24,83.4,90.4,80.6,20.5,82,67.1,24106.92,15.8,40115,14.5,671227,188.9,-7.2774702985283
"118",6.2,17.3,38.7,76.8,8.18,87.8,92.2,84.9,14.7,76.1,81,25741.8,15.6,10957,16.7,177005,29.7,-9.05404800643706
"119",6,15.5,40.1,88.2,4.67,85.7,97.3,84.2,16,84.8,82.2,24731.8,12,36552,7.9,479715,132.3,-9.76611450447942
"120",5.2,17.4,41.4,76.8,0.78,84.7,74.4,87.7,33.8,91.8,62.4,37326.25,9.4,246837,8.4,3117386,307.1,-9.73437700032325
"121",8.3,11.7,30.8,69.7,2.94,76.8,72.3,83.1,19.9,85.4,61.4,21623.22,18.9,20743,14.1,670503,34.4,-8.65532399053566
"122",6.2,13.7,38.8,87.8,3.75,85.9,94.9,88.2,20.7,87.7,75.6,27174.71,12.9,51146,7.7,1029270,324.4,-9.58237767601682
"123",4.9,17.2,40.5,56.4,20.77,85.9,96.2,78.4,10.9,71.3,73.2,19201.59,25.2,8578,11.6,397423,40.8,-8.49443133276793
"124",4.8,15.8,41.9,92,0.04,82.4,93,84.4,14.8,82,63.2,28875.44,16.8,2217,12.7,56677,2.8,-9.90528593447751
"125",6.1,15,38,76.9,1.13,78,76.5,87.6,29.8,89.8,60.2,31369.17,12.5,211811,11.8,3332808,66.9,-8.6261773820734
"126",6,16,39,84.5,0.73,87.4,87.6,73.6,13,75.3,77.5,19007.97,20.5,27022,15.1,447088,91.5,-8.87159304930824
"127",4.9,13.4,40.7,82,7.57,84,93.9,87.5,17.8,88.8,83.6,25537.15,13.1,13308,11.3,154346,50.8,-9.44881381771529
"128",5.3,16.5,39.9,41.4,25.18,85.8,95.9,74.2,8.9,70,66.2,17374.21,28.1,8678,12.3,294649,60.3,-7.67151623887007
"129",5.6,14.9,39.4,94.5,1.63,82.6,97.8,87.4,17.3,85.3,74.6,26713.38,13.2,24517,7.7,341288,111.1,-9.94370427300591
"130",5.5,14.5,39.9,83.6,5.14,89.9,91.2,92.5,31,90.8,80.9,35777.01,7.8,140845,5.7,1605119,895.3,-9.40535104560171
"131",6.1,12.7,37.6,90.1,3.13,86.8,93.9,93.6,35.3,93.1,82.4,32715.44,5.8,79688,6.9,586188,357.4,-9.96402903364157
"132",6,19.9,41.2,94.1,0.09,88.8,90.8,91.2,21.1,89.6,79.5,23334.56,10.9,2515,18.6,49603,1,-9.90688178560414
"133",7,14.2,37.1,85.7,2.83,86.8,86.8,94.5,43.1,91.9,76.6,38326.1,8.6,81462,4.7,743132,220.8,-8.12190540004944
"134",7.2,9.9,34.1,79.4,0.48,86.6,83.9,83.8,17.7,91.4,71.1,30410.42,10.4,25564,10.5,236433,2.8,-8.81819582733873
"135",6.1,17.5,40.3,68,0.27,84.7,95.3,86.1,15.4,82.6,74.9,22208.17,17.5,18562,15.8,276525,63,-9.36665401702915
"136",5.8,12.5,37.8,86.1,0.56,82.8,87.7,95.8,53.4,96.1,74.4,44114.98,5.3,34353,5.3,442693,1691.9,-10.5277132876297
"137",7,16.8,38,71.7,6.84,88,79.8,79.2,18.1,80.3,74.1,22072.79,19.4,19804,19.7,328005,48.3,-9.53185849395843
"138",4.7,23.7,47.5,95.5,0.54,85.8,96.8,87.8,24.3,81,75.2,26748.23,15.9,26197,12.4,491680,106.6,-9.25408678187454
"139",4.9,20.9,45.9,53.9,20.83,91.8,95.2,85.7,18.2,72.8,81.9,24276.47,16.2,6402,12.2,93925,39.8,-7.94165125293056
"140",5.5,20.7,45.7,97.5,0.25,91.3,97.4,91.7,17.9,82.5,77.9,28784.72,10.5,6219,6,120031,20.2,-9.7763925447323
"141",6,18.2,40.8,67.6,12.92,81.9,91.8,88.1,29,84.8,64.5,28631.17,19.1,35408,15.5,920548,189.7,-8.28143213786037
"142",4.9,21.1,45.8,98.7,0.02,91.8,99.6,81.4,9.3,73.7,77.7,19723.85,18.2,4169,11.7,85790,23.1,-10.5936302240758
"143",4.8,22.5,46.8,72.9,11.07,85.5,94.4,79.8,12.8,78.7,75.9,21331.17,18.4,20920,11.6,311786,141.6,-8.62965277329352
"144",5.9,16,41.9,96.9,0.16,90.1,98.1,95.2,26.8,90.6,82.6,32418.43,7.6,12635,5.8,199489,45.3,-9.45596922350946
"145",7.3,11.4,34.2,82.9,0.56,81.7,80.5,87.7,27,90.7,71.7,29162.5,11.5,142040,9,1025623,63.4,-9.32820280038163
"146",6,14.7,35.8,68.7,12.65,80.1,88.6,88.6,27.8,88.1,65.2,27842.75,18,46736,8.3,799587,263.7,-8.87869296833424
"147",5.6,17.8,40.9,80.3,7.78,83.4,96.4,83.1,16.9,80.7,73,21208.43,17.5,40045,11.7,966534,195.2,-8.59755244817311
"148",7.3,12.9,35.5,70.3,9.64,85.9,90.7,78.3,14.4,85,74,23185.61,21.1,49928,14.5,838613,90.8,-8.23538052690668
"149",6.6,14.5,36.6,54,21.76,82.1,95.3,84.7,23.6,81.7,66.2,22803.13,21.2,23358,13.1,677583,118.3,-7.74529276273448
"150",6.3,12.7,37.7,75.5,7.93,87.1,89.8,89.9,30.4,92.7,79.9,32784,7.4,60840,9.1,624804,304.9,-9.83580122510783
"151",9.7,10.4,31.1,75.3,1.14,83.6,48.7,70.8,18.3,83.4,68.3,21602.33,13.4,17449,15.8,190393,30.8,-10.0458041998864
"152",6,16.6,36.2,59.9,17.48,83.9,95.6,84.8,21.5,72.8,69.8,21401.68,24.2,8914,9.8,238163,32.1,-10.0828150482659
"153",5.4,14.2,35.7,90.5,0.46,77.4,91,95.8,45.9,94.6,67.5,34727.24,11.2,174549,7.3,1742522,115.4,-9.54310036961372
"154",9.1,10.2,31.6,79.5,1.04,83.4,57.1,74.6,9.8,88.1,79.9,27838.08,11.7,8970,15.4,78267,9.9,-9.56239063856071
"155",6.9,16.4,35.6,72.7,1.69,81.8,71.5,84.5,18.3,82.3,67.6,21069.73,20.5,23357,11.9,791764,9.6,-9.76027516421304
"156",5.7,15.8,41.3,95.4,0.48,86.6,95.8,88.1,18,83.7,74.3,27338.71,12.3,21619,10,337142,108.1,-9.52086907657081
"157",4.9,18.4,43.7,96.5,0.47,87.1,97.1,90.6,27.9,82.8,71.4,25620.58,13.5,14370,5.5,247714,48.1,-8.93785885022408
"158",4.9,19.1,42.9,66.6,0.67,86.5,42.6,80.5,19.6,64.9,66.8,17171.78,25.7,10195,12,390022,6.2,-9.23073106162392
"159",4.6,22.2,47.7,95.6,0.19,88.9,97,93.6,30.3,88,83.1,31796.52,11.5,12239,7.3,168003,62.3,-9.94829838106985
"160",4.5,23.4,47.6,82.1,5.11,85,86,90.7,30.1,86.4,70.4,30884.72,13.3,447351,12.6,10238689,3347.5,-9.20511764265441
"161",6.3,12.5,38.3,95.9,0.43,86.9,96.4,96.1,34,91.5,77.8,36820.16,5.6,46977,4.8,329084,116.8,-10.0578096462426
"162",4.4,28.1,51.9,83,5.31,86,94.8,89.1,28,89.2,77.5,29150.66,13.8,44994,12.5,856560,126.8,-8.85553691514908
"163",5,18.6,43.3,93.7,0.72,86.5,93.7,88.6,22.1,86.1,77.8,30490.84,9.4,52677,6.6,694554,195.5,-9.65819670425793
"164",9,11.1,32.4,97.5,0.18,94.9,94.7,97.2,40,95.8,88.2,30726.76,4.3,4785,6.1,43477,15.5,-10.0182883680133
"165",7.1,17.6,39.4,85.1,4.86,79.1,93.4,74.3,12.9,75.9,62.4,19010.13,27.2,12072,15.1,424482,59.1,-8.72261259390059
"166",5.2,16.6,39.5,93.7,1.33,85.1,96.5,90.8,15.3,84.5,75.1,25768.44,12.9,25831,5.9,416950,103,-9.60206709471456
"167",5.6,18.8,41.3,96.6,0.01,88.4,98.3,79.4,12.3,76.9,77.2,21181.4,21.2,2324,19.2,75405,12.3,-10.1239876129049
"168",6.5,17.3,37.8,76.2,0.93,80.2,95.1,86.2,22.5,82.3,66.5,21728.85,16.9,17502,17.2,438007,46.9,-9.54262804131954
"169",5.3,21.3,45.2,95.1,1.72,86.1,95.9,90.8,14.4,75.7,76.4,21966.53,15.4,3992,12.5,105347,13.6,-9.06574803199224
"170",6,13.7,35.9,91.9,0.15,88.3,92.3,92.2,20.9,84.5,74.1,28075.88,9.5,2658,10.9,46357,2.1,-10.1679265862575
"171",8.6,10.9,30.1,75.7,7.32,74.9,92.4,87.5,17.7,84.6,56.3,21231.9,14.9,16103,10.8,1865501,39.4,-9.59994706414989
"172",5,19.1,43,90.7,2.15,88.1,89.1,89.2,22.8,80.8,69.9,27073.95,14.6,148514,6.6,3284998,360.4,-8.11542885856298
"173",6.7,15.7,38.1,67,15.07,82.5,89.2,73.9,11.3,73.7,69.4,21558.4,25.9,14787,13.8,401356,50.5,-9.92929539668308
"174",4.8,18.8,45.4,38.6,27.53,93,96.8,82.5,17.6,72.3,75.3,20941.11,21.2,9216,14.2,186200,34.9,-9.02228970787013
"175",2.2,33.3,57.1,97.3,0.16,93.5,97.4,92.7,17.4,74.3,85.4,22432.02,15.8,2075,13.2,84085,5.2,-8.98877890184462
"176",7.3,15.2,36.9,88.2,0.74,83,87.1,88.6,20.4,84.8,67.9,26548.95,14.3,18680,9.4,257983,60.9,-9.65312267329081
"177",6.5,9.7,35.6,77.7,9.28,84.7,93.5,90.1,24.4,92,81.6,25993.22,8.6,72370,11.6,317035,455.8,-9.8033535509062
"178",5.4,20.6,44.4,94.4,1.02,80,96.6,89.8,20.6,83.8,74,26839.73,14.7,6302,6.2,157719,29.8,-10.3331410811105
